what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1437582515626
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1437582515641
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1437582515641
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1437582515751
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1437582515751
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1437582515751
os,sysinfo,,,"win32",1437582515751
arch,sysinfo,,,"x86_64",1437582515751
ws,sysinfo,,,"win32",1437582515751
locale,sysinfo,,,"en_US",1437582515751
processors,sysinfo,,,"4",1437582515751
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1437582515751
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1437582515751
java.specification.name,sysinfo,,,"Java Platform API Specification",1437582515751
java.specification.vendor,sysinfo,,,"Oracle Corporation",1437582515751
java.specification.version,sysinfo,,,"1.8",1437582515751
java.vendor,sysinfo,,,"Oracle Corporation",1437582515751
java.version,sysinfo,,,"1.8.0_45",1437582515751
java.vm.info,sysinfo,,,"mixed mode",1437582515751
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1437582515751
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1437582515751
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1437582515751
java.vm.specification.version,sysinfo,,,"1.8",1437582515751
java.vm.vendor,sysinfo,,,"Oracle Corporation",1437582515751
java.vm.version,sysinfo,,,"25.45-b02",1437582515751
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1437582515829
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1437582516000
