what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281805
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281805
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281806
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281806
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281807
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281807
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281807
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281808
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281808
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281809
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281809
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281810
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281810
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281811
error,log,,,"Resource '/eena/pdf%20conv/_UpgradeReport_Files/UpgradeReport.xslt' does not exist.",1437499281811
started,bundle,org.eclipse.wst.xml.xpath.core,1.1.0.v201004290328,"org.eclipse.wst.xml.xpath.core",1437499281876
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1437499282063
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499306536
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499306607
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.open.editor",1437499306619
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499316631
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499328835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499350086
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499354382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499369158
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499370687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1437499384888
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499386368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499387663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499406835
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499421872
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1437499435416
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499439889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499441666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499456238
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499458170
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1437499462979
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1437499463458
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1437499463631
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1437499463792
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1437499464066
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499465934
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499469330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499476205
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499478210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499484466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499486052
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499912449
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1437499915615
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499924927
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437499924979
no handler,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace",1437499926994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499931787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499933963
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.line",1437499933972
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1437499953453
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1437499953631
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1437499954016
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1437499954951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1437499956118
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1437499957120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1437499958704
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1437499962969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1437499964086
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1437499965306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499966350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1437499983723
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500000596
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500000637
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.open.editor",1437500000638
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500054749
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500054791
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.open.editor",1437500054793
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500069145
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1437500087472
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500095387
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1437500095430
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1437500100324
